id,date,customer_name,platform,rating,tags,review_text
1,2026-08-01,Emily R.,Google,5,服务好;出餐快,"Sunny Tea House is hands down my favorite boba spot in San Jose! Super fast service and the crew is always so welcoming. The boba was chewy and fresh!"
2,2026-08-01,湾区小甜心,小红书,5,饮品颜值高;口味独特,"🧋在San Jose挖到宝藏奶茶啦！杨枝甘露拍照巨出片，少糖配比超级绝，奶香浓郁清爽不腻～必须安利给所有姐妹！"
3,2026-08-02,Michael Chen,Google,5,环境干净;口味独特,"Really clean store and great modern vibe. Ordered the Roasted Oolong Milk Tea at 50% sugar. Perfect tea aroma and boba consistency."
4,2026-08-03,硅谷打工人,小红书,4,出餐快;服务好,"下午茶点单不到3分钟就拿到了，出餐速度感人！店员小哥态度超好，拯救了社畜的一天～"
5,2026-08-04,Sarah L.,Google,5,饮品颜值高;服务好,"The drink presentation is gorgeous! Tried their signature fruit tea, colorful and full of fresh mango and passionfruit. 10/10."
6,2026-08-05,David K.,Google,3,出餐快,"Decent tea flavor, but the tapioca was slightly softer than I prefer. Service was very prompt though."
7,2026-08-06,可可西里,小红书,5,环境干净;饮品颜值高,"店面装修超级干净明亮，原木风太戳我了！拍了二十分钟照片根本停不下来，奶茶不仅好看还超好喝✨"
8,2026-08-07,Jason W.,Google,5,口味独特;服务好,"Authentic Taiwanese style boba right in the South Bay! Staff explained the sweetness levels patiently. Will be coming back regularly."
9,2026-08-08,吃饱才有力气,小红书,5,出餐快;口味独特,"黑糖珍珠鲜奶绝了！珍珠Q弹筋道，出餐特别快，不用大排长龙太幸福了！"
10,2026-08-09,Amanda M.,Google,5,环境干净;出餐快,"Super impressed by the clean aesthetic and quick turnaround during the afternoon rush. Mango Pomelo Sago is a must-try!"
11,2026-08-10,Chris B.,Google,4,服务好,"Staff was super patient answering questions about dairy-free options. Oat milk substitute was rich and smooth."
12,2026-08-11,奶茶品鉴官,小红书,5,饮品颜值高;口味独特,"湾区下午茶天花板！这杯芝士葡萄颜值太能打了，芝士奶盖浓郁咸香，搭配新鲜葡萄果肉层次感拉满！"
13,2026-08-12,Kevin T.,Google,5,口味独特;环境干净,"Hands down the best tea leaves used in San Jose. You can genuinely taste the deep oolong aroma rather than artificial syrups."
14,2026-08-13,Jessica P.,Google,5,服务好;出餐快,"Fast, friendly, and refreshing! Even with 6 people in line, my drink came out in under 4 minutes."
15,2026-08-14,圣何塞探店阿猫,小红书,5,服务好;饮品颜值高,"店员小姐姐笑容巨甜，还送了可爱的小贴纸！杯套和杯身设计非常有质感，发朋友圈被问爆了！"
16,2026-08-15,Brian N.,Google,4,环境干净,"Nice seating area to get some work done. Music wasn't too loud and tables were wiped clean."
17,2026-08-16,Alex G.,Google,5,出餐快;口味独特,"The brown sugar boba milk was warm at the bottom and icy on top. Perfectly balanced texture."
18,2026-08-17,甜食爱好者小美,小红书,5,口味独特;服务好,"少冰微糖刚刚好，茶香和奶味完美融合，店员还主动提醒珍珠刚出锅注意搅拌，太贴心了！"
19,2026-08-18,Rachel D.,Google,2,出餐快,"The shop is super clean and fast, but the line was a bit confusing outside on the sidewalk."
20,2026-08-19,加州阳光,小红书,5,饮品颜值高;出餐快,"夏天来一杯满杯红柚太解渴了！红柚果肉颗粒分明，颜值爆表，打卡圣地无误！"
21,2026-08-20,Eric S.,Google,5,服务好;环境干净,"Top-notch customer service. Store manager was very attentive and the seating area is cozy."
22,2026-08-21,Brandon Y.,Google,5,口味独特;出餐快,"High quality boba and lightning-fast preparation. Definitely in my top 3 boba shops in the Bay Area."
23,2026-08-22,暴富小丸子,小红书,5,服务好;口味独特,"被朋友安利来的，芋泥波波奶茶太真材实料了，满满半杯手打芋泥，喝完巨有饱腹感！"
24,2026-08-23,Stephanie H.,Google,5,饮品颜值高;环境干净,"The aesthetic of this shop is so Instagrammable! Drinks taste just as good as they look."
25,2026-08-24,Daniel C.,Google,4,服务好;出餐快,"Quick pickup on a Saturday afternoon. Staff handled the crowd gracefully."
26,2026-08-25,湾区小吃货,小红书,5,环境干净;出餐快,"店里冷气很足，座位之间间距舒适。扫码碰一下点单出餐巨快，体验感极度丝滑！"
27,2026-08-26,Hannah W.,Google,5,口味独特;环境干净,"The matcha latte with boba was rich and not overly sweet. Very serene and cozy atmosphere."
28,2026-08-27,Tyler M.,Google,5,服务好;出餐快,"Friendly greeting as soon as I stepped in. Ordered on their NFC tap system and got my drink in 3 mins."
29,2026-08-28,今天喝奶茶了吗,小红书,5,饮品颜值高;口味独特,"招牌多肉葡萄实名夸赞！渐变色太梦幻了，吸一口满满都是爽脆葡萄肉和爽滑茶冻！"
30,2026-08-29,Justin L.,Google,5,口味独特;服务好,"Consistently great boba texture every single visit. Keep up the high standard!"
